lead_id,first_touch_time,channel,industry,company_size,jobtitle_level,email_domain,pyhone_contry_code,form_length,utm_source,utm_campaign
L0060,2024/6/9 5:28,REFERRAL,E-commerce,0-50,Director,company.com,company.com,company.com,company.com,company.com
L0061,2024/5/27 7:15,SEO,FinTech,51-200,VP+,company.com,company.com,company.com,company.com,company.com
L0062,2024/4/18 10:30,WEBINAR,FinTech,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0063,2024/3/31 12:04,REFERRAL,E-commerce,201-1000,Individual,163.com,163.com,163.com,163.com,163.com
L0064,2024/6/22 17:57,REFERRAL,E-commerce,51-200,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0065,2024/3/24 22:25,REFERRAL,Manufacturing,0-50,Director,company.com,company.com,company.com,company.com,company.com
L0066,2024/3/14 5:52,WEBINAR,E-commerce,1000+,Individual,163.com,163.com,163.com,163.com,163.com
L0067,2024/4/4 17:43,REFERRAL,SaaS,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0068,2024/6/10 8:51,ADS,E-commerce,1000+,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0069,2024/4/19 16:52,REFERRAL,E-commerce,201-1000,Individual,163.com,163.com,163.com,163.com,163.com
L0070,2024/5/16 16:12,ADS,Manufacturing,0-50,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0071,2024/4/10 16:22,ADS,FinTech,1000+,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0072,2024/5/8 7:15,ADS,Manufacturing,201-1000,Individual,company.com,company.com,company.com,company.com,company.com
L0073,2024/5/14 1:37,REFERRAL,SaaS,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0074,2024/4/30 19:18,WEBINAR,SaaS,201-1000,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0075,2024/5/8 21:11,ADS,E-commerce,201-1000,VP+,company.com,company.com,company.com,company.com,company.com
L0076,2024/3/6 18:47,WEBINAR,E-commerce,51-200,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0077,2024/5/26 1:09,ADS,Healthcare,0-50,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0078,2024/4/27 22:27,WEBINAR,FinTech,201-1000,Director,company.com,company.com,company.com,company.com,company.com
L0079,2024/3/20 6:55,PARTNER,Healthcare,1000+,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0080,2024/3/25 5:20,ADS,FinTech,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0081,2024/6/10 2:39,SEO,FinTech,51-200,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0082,2024/4/7 0:35,REFERRAL,SaaS,51-200,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0083,2024/4/17 20:11,PARTNER,FinTech,0-50,VP+,company.com,company.com,company.com,company.com,company.com
L0084,2024/4/24 20:54,ADS,SaaS,201-1000,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0085,2024/6/6 11:13,ADS,FinTech,0-50,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0086,2024/6/7 17:01,SEO,Manufacturing,51-200,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0087,2024/3/18 1:08,ADS,Manufacturing,201-1000,Individual,company.com,company.com,company.com,company.com,company.com
L0088,2024/3/17 14:12,SEO,Manufacturing,201-1000,Director,company.com,company.com,company.com,company.com,company.com
L0089,2024/3/6 14:26,REFERRAL,E-commerce,1000+,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0090,2024/5/26 12:34,SEO,Healthcare,1000+,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0091,2024/5/30 0:22,WEBINAR,Healthcare,51-200,Director,company.com,company.com,company.com,company.com,company.com
L0092,2024/3/23 18:29,SEO,Healthcare,0-50,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0093,2024/4/15 10:39,PARTNER,E-commerce,1000+,Director,163.com,163.com,163.com,163.com,163.com
L0094,2024/5/8 13:07,SEO,Manufacturing,51-200,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0095,2024/5/9 4:47,WEBINAR,E-commerce,0-50,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0096,2024/3/31 13:14,WEBINAR,Manufacturing,0-50,VP+,163.com,163.com,163.com,163.com,163.com
L0097,2024/5/17 9:43,PARTNER,Manufacturing,51-200,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0098,2024/3/12 17:46,ADS,Healthcare,1000+,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0099,2024/5/15 12:29,PARTNER,Manufacturing,201-1000,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0100,2024/6/8 19:07,WEBINAR,Healthcare,0-50,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0101,2024/3/1 16:35,REFERRAL,E-commerce,0-50,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0102,2024/4/14 4:28,REFERRAL,FinTech,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0103,2024/6/28 19:52,SEO,Manufacturing,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0104,2024/6/24 0:35,ADS,SaaS,1000+,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0105,2024/5/30 9:40,WEBINAR,Manufacturing,51-200,Manager,company.com,company.com,company.com,company.com,company.com
L0106,2024/3/28 15:17,REFERRAL,E-commerce,1000+,Director,company.com,company.com,company.com,company.com,company.com
L0107,2024/3/18 23:58,PARTNER,FinTech,201-1000,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0108,2024/3/19 9:57,SEO,SaaS,51-200,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0109,2024/6/3 15:16,SEO,Healthcare,201-1000,Director,company.com,company.com,company.com,company.com,company.com
L0110,2024/6/5 5:25,ADS,E-commerce,0-50,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0111,2024/6/25 11:36,WEBINAR,E-commerce,0-50,Individual,163.com,163.com,163.com,163.com,163.com
L0112,2024/6/6 15:53,WEBINAR,FinTech,1000+,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0113,2024/3/25 1:49,PARTNER,Manufacturing,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0114,2024/5/24 17:12,SEO,E-commerce,201-1000,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0115,2024/4/22 10:51,WEBINAR,SaaS,51-200,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0116,2024/3/17 22:57,REFERRAL,Manufacturing,1000+,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0117,2024/3/21 10:38,REFERRAL,Healthcare,201-1000,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0118,2024/3/16 18:30,REFERRAL,FinTech,0-50,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0119,2024/6/29 16:35,WEBINAR,Manufacturing,51-200,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0120,2024/4/16 17:10,REFERRAL,SaaS,0-50,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0121,2024/5/2 8:30,ADS,FinTech,51-200,Manager,company.com,company.com,company.com,company.com,company.com
L0122,2024/3/21 13:49,SEO,E-commerce,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0123,2024/5/4 3:34,PARTNER,Healthcare,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0124,2024/4/16 5:42,WEBINAR,E-commerce,201-1000,Director,163.com,163.com,163.com,163.com,163.com
L0125,2024/3/22 11:23,SEO,E-commerce,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0126,2024/3/7 18:26,PARTNER,Healthcare,51-200,VP+,company.com,company.com,company.com,company.com,company.com
L0127,2024/4/30 6:21,ADS,Manufacturing,0-50,Individual,company.com,company.com,company.com,company.com,company.com
L0128,2024/3/22 2:27,REFERRAL,E-commerce,1000+,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0129,2024/6/3 1:08,SEO,SaaS,51-200,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0130,2024/4/24 20:24,WEBINAR,SaaS,1000+,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0131,2024/5/31 7:35,REFERRAL,FinTech,201-1000,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0132,2024/5/15 12:52,WEBINAR,E-commerce,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0133,2024/5/14 10:53,REFERRAL,E-commerce,1000+,Director,company.com,company.com,company.com,company.com,company.com
L0134,2024/4/4 2:56,SEO,Manufacturing,51-200,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0135,2024/4/28 11:08,PARTNER,SaaS,201-1000,VP+,company.com,company.com,company.com,company.com,company.com
L0136,2024/4/25 9:08,ADS,SaaS,51-200,VP+,company.com,company.com,company.com,company.com,company.com
L0137,2024/3/31 8:43,SEO,SaaS,1000+,VP+,company.com,company.com,company.com,company.com,company.com
L0138,2024/5/3 6:56,WEBINAR,Manufacturing,201-1000,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0139,2024/6/26 4:13,PARTNER,SaaS,51-200,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0140,2024/3/12 18:32,ADS,Manufacturing,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0141,2024/5/9 8:55,ADS,SaaS,0-50,Director,company.com,company.com,company.com,company.com,company.com
L0142,2024/5/20 7:00,ADS,E-commerce,0-50,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0143,2024/3/1 22:03,PARTNER,FinTech,0-50,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0144,2024/4/6 12:23,PARTNER,Manufacturing,201-1000,Individual,company.com,company.com,company.com,company.com,company.com
L0145,2024/3/18 11:07,REFERRAL,E-commerce,201-1000,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0146,2024/3/26 1:03,ADS,Manufacturing,0-50,Individual,163.com,163.com,163.com,163.com,163.com
L0147,2024/4/26 15:46,PARTNER,Healthcare,0-50,Individual,163.com,163.com,163.com,163.com,163.com
L0148,2024/3/9 22:50,PARTNER,SaaS,0-50,Director,163.com,163.com,163.com,163.com,163.com
L0149,2024/5/17 7:38,WEBINAR,E-commerce,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0150,2024/5/24 18:20,WEBINAR,FinTech,51-200,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0151,2024/5/28 8:48,WEBINAR,Healthcare,51-200,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0152,2024/5/8 1:00,REFERRAL,Healthcare,0-50,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0153,2024/3/18 14:27,PARTNER,SaaS,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0154,2024/6/16 0:43,SEO,E-commerce,201-1000,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0155,2024/6/4 18:40,REFERRAL,Manufacturing,201-1000,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0156,2024/3/3 22:08,WEBINAR,Healthcare,0-50,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0157,2024/4/18 8:56,WEBINAR,E-commerce,201-1000,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0158,2024/5/19 14:28,ADS,FinTech,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0159,2024/4/27 9:36,REFERRAL,Manufacturing,201-1000,Director,company.com,company.com,company.com,company.com,company.com
L0160,2024/4/30 3:46,ADS,E-commerce,51-200,Individual,company.com,company.com,company.com,company.com,company.com
L0161,2024/6/24 14:26,ADS,E-commerce,1000+,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0162,2024/3/25 22:54,ADS,Healthcare,51-200,Individual,company.com,company.com,company.com,company.com,company.com
L0163,2024/3/17 11:41,PARTNER,FinTech,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0164,2024/4/8 13:20,WEBINAR,Manufacturing,0-50,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0165,2024/6/22 19:30,ADS,Healthcare,0-50,Director,163.com,163.com,163.com,163.com,163.com
L0166,2024/6/17 10:34,REFERRAL,Healthcare,1000+,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0167,2024/5/10 12:38,REFERRAL,Manufacturing,201-1000,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0168,2024/6/3 11:45,REFERRAL,Manufacturing,201-1000,VP+,163.com,163.com,163.com,163.com,163.com
L0169,2024/4/27 21:21,REFERRAL,SaaS,1000+,VP+,company.com,company.com,company.com,company.com,company.com
L0170,2024/5/19 9:22,WEBINAR,Manufacturing,201-1000,Director,company.com,company.com,company.com,company.com,company.com
L0171,2024/3/28 13:42,WEBINAR,SaaS,201-1000,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0172,2024/3/14 9:33,SEO,E-commerce,0-50,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0173,2024/5/22 12:13,ADS,FinTech,201-1000,Manager,company.com,company.com,company.com,company.com,company.com
L0174,2024/4/11 23:34,ADS,Manufacturing,51-200,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0175,2024/4/12 21:02,ADS,Healthcare,0-50,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0176,2024/6/22 3:18,REFERRAL,FinTech,201-1000,VP+,company.com,company.com,company.com,company.com,company.com
L0177,2024/3/6 23:13,WEBINAR,Manufacturing,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0178,2024/6/13 9:57,WEBINAR,FinTech,1000+,Individual,163.com,163.com,163.com,163.com,163.com
L0179,2024/5/19 10:37,REFERRAL,Manufacturing,51-200,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0180,2024/6/27 5:34,PARTNER,SaaS,1000+,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0181,2024/3/29 23:14,ADS,Healthcare,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0182,2024/4/8 19:02,WEBINAR,Healthcare,1000+,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0183,2024/6/11 8:02,WEBINAR,SaaS,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0184,2024/5/14 11:59,ADS,SaaS,51-200,Individual,company.com,company.com,company.com,company.com,company.com
L0185,2024/3/19 21:36,PARTNER,Manufacturing,0-50,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0186,2024/3/9 12:28,SEO,Healthcare,0-50,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0187,2024/3/31 21:41,REFERRAL,E-commerce,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0188,2024/6/11 10:33,ADS,Healthcare,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0189,2024/3/30 12:45,WEBINAR,Healthcare,1000+,Manager,163.com,163.com,163.com,163.com,163.com
L0190,2024/5/24 7:25,ADS,Healthcare,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0191,2024/6/23 14:49,REFERRAL,SaaS,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0192,2024/5/31 1:30,REFERRAL,Manufacturing,51-200,Director,company.com,company.com,company.com,company.com,company.com
L0193,2024/5/14 15:01,WEBINAR,SaaS,51-200,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0194,2024/3/27 12:50,PARTNER,E-commerce,1000+,Individual,163.com,163.com,163.com,163.com,163.com
L0195,2024/6/29 8:27,SEO,FinTech,0-50,Manager,company.com,company.com,company.com,company.com,company.com
L0196,2024/6/10 5:08,PARTNER,Manufacturing,201-1000,Director,163.com,163.com,163.com,163.com,163.com
L0197,2024/4/9 17:39,SEO,E-commerce,0-50,Director,163.com,163.com,163.com,163.com,163.com
L0198,2024/4/7 8:39,SEO,E-commerce,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0199,2024/3/2 7:14,REFERRAL,E-commerce,1000+,Director,163.com,163.com,163.com,163.com,163.com
L0200,2024/6/25 3:05,PARTNER,FinTech,201-1000,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0201,2024/3/17 15:52,ADS,SaaS,201-1000,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0202,2024/6/27 18:43,SEO,E-commerce,51-200,VP+,163.com,163.com,163.com,163.com,163.com
L0203,2024/6/8 12:18,ADS,SaaS,0-50,Individual,163.com,163.com,163.com,163.com,163.com
L0204,2024/3/15 5:21,REFERRAL,SaaS,0-50,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0205,2024/5/18 5:49,SEO,Manufacturing,0-50,Manager,company.com,company.com,company.com,company.com,company.com
L0206,2024/4/18 13:52,PARTNER,SaaS,201-1000,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0207,2024/4/11 16:34,REFERRAL,SaaS,1000+,Manager,163.com,163.com,163.com,163.com,163.com
L0208,2024/6/24 6:42,ADS,FinTech,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0209,2024/5/25 20:53,ADS,SaaS,1000+,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0210,2024/4/22 7:07,ADS,SaaS,201-1000,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0211,2024/4/9 7:21,REFERRAL,FinTech,201-1000,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0212,2024/6/10 4:37,WEBINAR,SaaS,51-200,VP+,company.com,company.com,company.com,company.com,company.com
L0213,2024/6/22 5:38,ADS,SaaS,51-200,Manager,163.com,163.com,163.com,163.com,163.com
L0214,2024/4/28 11:19,ADS,SaaS,0-50,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0215,2024/3/22 7:57,ADS,FinTech,51-200,Director,company.com,company.com,company.com,company.com,company.com
L0216,2024/4/11 22:09,REFERRAL,SaaS,201-1000,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0217,2024/5/8 1:34,PARTNER,Manufacturing,1000+,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0218,2024/6/18 21:30,PARTNER,FinTech,51-200,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0219,2024/5/20 0:26,REFERRAL,E-commerce,1000+,Manager,163.com,163.com,163.com,163.com,163.com
L0220,2024/4/4 3:37,SEO,Healthcare,201-1000,Individual,company.com,company.com,company.com,company.com,company.com
L0221,2024/5/3 11:44,SEO,FinTech,51-200,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0222,2024/4/9 21:04,SEO,Manufacturing,1000+,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0223,2024/4/3 10:20,REFERRAL,FinTech,0-50,Director,163.com,163.com,163.com,163.com,163.com
L0224,2024/3/27 0:57,SEO,SaaS,0-50,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0225,2024/4/1 22:23,ADS,FinTech,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0226,2024/3/12 16:22,REFERRAL,SaaS,0-50,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0227,2024/4/20 21:47,ADS,Manufacturing,1000+,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0228,2024/3/8 20:10,PARTNER,Manufacturing,201-1000,VP+,company.com,company.com,company.com,company.com,company.com
L0229,2024/3/5 2:38,SEO,E-commerce,201-1000,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0230,2024/4/15 13:11,REFERRAL,Healthcare,51-200,Manager,163.com,163.com,163.com,163.com,163.com
L0231,2024/5/8 7:50,PARTNER,E-commerce,51-200,VP+,163.com,163.com,163.com,163.com,163.com
L0232,2024/5/29 0:51,REFERRAL,SaaS,0-50,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0233,2024/3/10 0:56,PARTNER,Healthcare,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0234,2024/3/28 6:18,ADS,E-commerce,0-50,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
