lead_id,event_time,event_type
L0296,2024/3/19 14:18,chat_open
L0296,2024/3/19 14:30,demo_watch
L0527,2024/6/12 4:50,form_submit
L0919,2024/3/6 1:45,form_submit
L0919,2024/3/6 2:13,whitepaper_download
L0919,2024/3/6 1:52,page_view
L0919,2024/3/6 1:45,page_view
L0919,2024/3/6 1:51,chat_open
L0052,2024/6/18 7:28,chat_open
L0052,2024/6/18 7:37,demo_watch
L0052,2024/6/18 7:47,form_submit
L0052,2024/6/18 7:30,page_view
L0429,2024/5/18 19:42,pricing_click
L0429,2024/5/18 19:41,chat_open
L0429,2024/5/18 19:44,demo_watch
L0429,2024/5/18 19:42,form_submit
L0429,2024/5/18 19:41,demo_watch
L0288,2024/3/16 1:21,demo_watch
L0288,2024/3/16 0:55,form_submit
L0172,2024/3/14 9:45,chat_open
L0172,2024/3/14 9:37,demo_watch
L0172,2024/3/14 9:51,chat_open
L0506,2024/6/17 11:52,demo_watch
L0506,2024/6/17 11:51,page_view
L0994,2024/5/6 1:45,form_submit
L0994,2024/5/6 2:00,form_submit
L0994,2024/5/6 1:51,page_view
L0407,2024/5/31 21:01,page_view
L0407,2024/5/31 20:57,form_submit
L0407,2024/5/31 20:52,chat_open
L0407,2024/5/31 20:47,whitepaper_download
L0407,2024/5/31 21:07,whitepaper_download
L0010,2024/6/9 14:24,demo_watch
L0010,2024/6/9 14:20,pricing_click
L0010,2024/6/9 14:25,chat_open
L0322,2024/6/4 20:56,page_view
L0700,2024/3/3 10:37,form_submit
L0700,2024/3/3 10:45,whitepaper_download
L0700,2024/3/3 10:48,page_view
L0700,2024/3/3 10:37,form_submit
L0835,2024/3/8 3:19,chat_open
L0594,2024/6/22 23:33,pricing_click
L0594,2024/6/22 23:15,form_submit
L0594,2024/6/22 23:34,form_submit
L0699,2024/5/28 13:42,demo_watch
L0699,2024/5/28 13:42,whitepaper_download
L0699,2024/5/28 13:48,whitepaper_download
L0611,2024/4/8 14:10,page_view
L0694,2024/6/30 8:35,form_submit
L0694,2024/6/30 8:46,whitepaper_download
L0694,2024/6/30 8:40,form_submit
L0694,2024/6/30 8:36,chat_open
L0291,2024/5/21 4:31,form_submit
L0261,2024/6/11 16:28,form_submit
L0261,2024/6/11 16:15,demo_watch
L0261,2024/6/11 16:13,chat_open
L0475,2024/4/7 14:52,whitepaper_download
L0475,2024/4/7 14:50,pricing_click
L0475,2024/4/7 14:54,demo_watch
L0475,2024/4/7 15:08,whitepaper_download
L0643,2024/4/11 4:20,form_submit
L0643,2024/4/11 4:21,page_view
L0643,2024/4/11 4:13,form_submit
L0983,2024/5/20 8:39,demo_watch
L0983,2024/5/20 8:31,chat_open
L0983,2024/5/20 8:28,page_view
L0983,2024/5/20 8:20,form_submit
L0983,2024/5/20 8:32,chat_open
L0882,2024/4/19 9:58,whitepaper_download
L0882,2024/4/19 10:15,page_view
L0882,2024/4/19 10:02,pricing_click
L0443,2024/6/5 4:32,form_submit
L0443,2024/6/5 4:57,chat_open
L0443,2024/6/5 4:34,whitepaper_download
L0166,2024/6/17 11:04,page_view
L0155,2024/6/4 19:08,chat_open
L0155,2024/6/4 18:43,chat_open
L0155,2024/6/4 18:55,page_view
L0155,2024/6/4 18:58,form_submit
L0626,2024/6/29 15:27,form_submit
L0626,2024/6/29 15:37,form_submit
L0626,2024/6/29 15:27,page_view
L0974,2024/3/1 19:38,form_submit
L0974,2024/3/1 19:31,demo_watch
L0235,2024/5/19 16:36,whitepaper_download
L0235,2024/5/19 16:31,chat_open
L0235,2024/5/19 16:18,whitepaper_download
L0726,2024/3/27 10:18,demo_watch
L0726,2024/3/27 10:05,chat_open
L0726,2024/3/27 10:07,demo_watch
L0726,2024/3/27 10:22,page_view
L0751,2024/5/24 8:44,chat_open
L0751,2024/5/24 8:57,page_view
L0953,2024/3/27 6:06,chat_open
L0953,2024/3/27 6:05,whitepaper_download
L0199,2024/3/2 7:19,whitepaper_download
L0199,2024/3/2 7:25,chat_open
L0199,2024/3/2 7:42,pricing_click
L0199,2024/3/2 7:34,demo_watch
L0951,2024/5/13 17:20,form_submit
L0951,2024/5/13 17:17,whitepaper_download
L0951,2024/5/13 17:38,chat_open
L0006,2024/3/28 20:57,chat_open
L0609,2024/5/12 9:45,pricing_click
L0609,2024/5/12 9:35,demo_watch
L0609,2024/5/12 9:46,pricing_click
L0609,2024/5/12 9:39,page_view
L0189,2024/3/30 13:00,demo_watch
L0189,2024/3/30 12:51,pricing_click
L0519,2024/5/12 14:53,pricing_click
L0519,2024/5/12 15:12,form_submit
L0212,2024/6/10 4:44,whitepaper_download
L0507,2024/6/17 22:05,page_view
L0507,2024/6/17 22:22,demo_watch
L0507,2024/6/17 22:14,demo_watch
L0832,2024/3/19 15:05,pricing_click
L0832,2024/3/19 15:00,form_submit
L0832,2024/3/19 15:05,page_view
L0832,2024/3/19 14:40,whitepaper_download
L0856,2024/5/26 22:28,whitepaper_download
L0856,2024/5/26 22:35,page_view
L0856,2024/5/26 22:24,page_view
L0498,2024/5/25 1:59,chat_open
L0498,2024/5/25 1:48,whitepaper_download
L0081,2024/6/10 2:59,form_submit
L0081,2024/6/10 3:01,form_submit
L0081,2024/6/10 2:47,form_submit
L0081,2024/6/10 3:09,pricing_click
L0995,2024/6/15 8:28,whitepaper_download
L0995,2024/6/15 8:34,form_submit
L0995,2024/6/15 8:38,pricing_click
L0423,2024/4/13 10:56,chat_open
L0423,2024/4/13 11:00,page_view
L0423,2024/4/13 11:05,page_view
L0579,2024/3/5 5:14,whitepaper_download
L0579,2024/3/5 5:26,form_submit
L0579,2024/3/5 5:12,form_submit
L0579,2024/3/5 5:22,pricing_click
L0579,2024/3/5 5:19,demo_watch
L0053,2024/3/15 0:24,demo_watch
L0053,2024/3/15 0:42,form_submit
L0053,2024/3/15 0:15,chat_open
L0053,2024/3/15 0:41,form_submit
L0053,2024/3/15 0:27,demo_watch
L0499,2024/4/17 22:02,pricing_click
L0499,2024/4/17 22:22,demo_watch
L0920,2024/4/19 10:18,page_view
L0920,2024/4/19 10:14,form_submit
L0984,2024/6/2 2:57,form_submit
L0984,2024/6/2 3:04,chat_open
L0984,2024/6/2 3:20,pricing_click
L0392,2024/5/23 13:47,pricing_click
L0392,2024/5/23 13:40,pricing_click
L0392,2024/5/23 13:49,form_submit
L0392,2024/5/23 13:49,chat_open
L0300,2024/6/23 6:55,chat_open
L0300,2024/6/23 6:51,chat_open
L0300,2024/6/23 6:43,whitepaper_download
L0285,2024/4/18 0:48,page_view
L0285,2024/4/18 0:45,demo_watch
L0285,2024/4/18 0:45,whitepaper_download
L0285,2024/4/18 0:49,demo_watch
L0476,2024/6/23 2:32,pricing_click
L0829,2024/4/17 3:36,form_submit
L0829,2024/4/17 3:34,chat_open
L0829,2024/4/17 3:23,pricing_click
L0844,2024/3/11 13:22,page_view
L0844,2024/3/11 13:40,page_view
L0054,2024/6/19 20:39,whitepaper_download
L0054,2024/6/19 20:34,form_submit
L0054,2024/6/19 20:31,page_view
L0054,2024/6/19 20:52,page_view
L0964,2024/5/31 15:43,chat_open
L0334,2024/5/26 18:35,pricing_click
L0334,2024/5/26 18:50,pricing_click
L0334,2024/5/26 18:48,chat_open
L0382,2024/6/28 7:39,demo_watch
L0382,2024/6/28 7:49,form_submit
L0418,2024/3/9 7:25,page_view
L0418,2024/3/9 7:21,pricing_click
L0418,2024/3/9 7:05,demo_watch
L0418,2024/3/9 7:20,page_view
L0055,2024/5/21 9:51,page_view
L0335,2024/4/14 11:51,whitepaper_download
L0335,2024/4/14 11:39,chat_open
L0642,2024/4/21 20:45,page_view
L0642,2024/4/21 20:37,pricing_click
L0566,2024/5/8 9:58,whitepaper_download
L0566,2024/5/8 9:59,chat_open
L0566,2024/5/8 10:04,pricing_click
L0566,2024/5/8 10:22,chat_open
L0331,2024/3/13 0:07,chat_open
L0331,2024/3/13 0:02,chat_open
L0331,2024/3/13 0:12,pricing_click
L0331,2024/3/13 0:09,demo_watch
L0567,2024/5/14 16:41,form_submit
L0086,2024/6/7 17:22,page_view
L0086,2024/6/7 17:09,chat_open
L0086,2024/6/7 17:11,whitepaper_download
L0621,2024/5/30 22:23,whitepaper_download
L0621,2024/5/30 22:04,form_submit
L0621,2024/5/30 22:08,form_submit
L0621,2024/5/30 22:10,form_submit
L0621,2024/5/30 22:17,whitepaper_download
L0078,2024/4/27 22:41,pricing_click
L0078,2024/4/27 22:40,page_view
L0078,2024/4/27 22:39,form_submit
L0412,2024/3/23 0:43,whitepaper_download
L0412,2024/3/23 0:57,form_submit
L0412,2024/3/23 1:09,chat_open
L0412,2024/3/23 1:02,chat_open
L0238,2024/5/5 5:11,pricing_click
L0238,2024/5/5 5:22,chat_open
L0238,2024/5/5 5:04,demo_watch
L0323,2024/6/26 8:24,whitepaper_download
L0323,2024/6/26 8:32,pricing_click
L0323,2024/6/26 8:36,page_view
L0323,2024/6/26 8:30,page_view
L0911,2024/5/23 20:52,whitepaper_download
L0911,2024/5/23 20:54,demo_watch
L0712,2024/5/1 22:59,page_view
L0712,2024/5/1 23:05,whitepaper_download
L0712,2024/5/1 23:13,demo_watch
L0893,2024/5/29 2:51,page_view
L0893,2024/5/29 2:57,chat_open
L0893,2024/5/29 2:44,demo_watch
L0312,2024/3/17 22:37,chat_open
L0312,2024/3/17 22:32,pricing_click
L0312,2024/3/17 22:33,pricing_click
L0689,2024/4/3 2:19,chat_open
L0689,2024/4/3 2:22,form_submit
L0689,2024/4/3 2:15,whitepaper_download
L0689,2024/4/3 2:29,page_view
L0689,2024/4/3 2:18,form_submit
L0858,2024/3/23 22:37,page_view
L0858,2024/3/23 22:55,form_submit
L0276,2024/3/16 6:52,form_submit
L0276,2024/3/16 6:52,pricing_click
L0276,2024/3/16 6:50,page_view
L0042,2024/6/15 13:06,whitepaper_download
L0042,2024/6/15 13:06,pricing_click
L0042,2024/6/15 13:04,page_view
L0734,2024/6/20 6:18,form_submit
L0734,2024/6/20 6:16,pricing_click
L0734,2024/6/20 6:06,page_view
L0734,2024/6/20 6:25,demo_watch
L0734,2024/6/20 6:07,whitepaper_download
L0084,2024/4/24 21:04,form_submit
L0084,2024/4/24 20:58,page_view
L0084,2024/4/24 21:18,page_view
L0097,2024/5/17 9:45,pricing_click
L0097,2024/5/17 10:11,page_view
L0035,2024/4/29 7:40,pricing_click
L0035,2024/4/29 7:44,page_view
L0035,2024/4/29 8:07,whitepaper_download
L0501,2024/4/26 18:41,chat_open
L0501,2024/4/26 18:38,form_submit
L0501,2024/4/26 18:47,page_view
L0079,2024/3/20 7:11,page_view
L0079,2024/3/20 7:11,demo_watch
L0079,2024/3/20 7:14,demo_watch
L0079,2024/3/20 7:04,pricing_click
L0313,2024/4/23 15:40,whitepaper_download
L0313,2024/4/23 15:48,form_submit
L0313,2024/4/23 15:32,demo_watch
L0313,2024/4/23 15:26,page_view
L0313,2024/4/23 15:26,chat_open
L0102,2024/4/14 4:43,chat_open
L0102,2024/4/14 4:33,whitepaper_download
L0102,2024/4/14 4:45,pricing_click
L0102,2024/4/14 4:55,page_view
L0102,2024/4/14 4:41,whitepaper_download
L0929,2024/5/7 6:58,whitepaper_download
L0772,2024/4/10 17:36,chat_open
L0772,2024/4/10 17:31,pricing_click
L0772,2024/4/10 17:47,pricing_click
L0772,2024/4/10 17:42,whitepaper_download
L0772,2024/4/10 17:30,whitepaper_download
L0572,2024/6/4 20:42,form_submit
L0874,2024/5/25 5:05,pricing_click
L0211,2024/4/9 7:30,chat_open
L0211,2024/4/9 7:45,demo_watch
L0211,2024/4/9 7:35,page_view
L0211,2024/4/9 7:33,pricing_click
L0211,2024/4/9 7:49,form_submit
L0538,2024/3/8 23:14,form_submit
L0538,2024/3/8 23:17,chat_open
L0538,2024/3/8 23:20,demo_watch
L0118,2024/3/16 18:36,whitepaper_download
L0118,2024/3/16 18:55,page_view
L0118,2024/3/16 18:57,form_submit
L0003,2024/6/5 5:00,whitepaper_download
L0003,2024/6/5 4:59,chat_open
L0003,2024/6/5 4:55,form_submit
L0003,2024/6/5 5:06,pricing_click
L0003,2024/6/5 4:53,page_view
L0768,2024/6/26 19:08,form_submit
L0768,2024/6/26 19:20,pricing_click
L0739,2024/4/15 6:07,form_submit
L0739,2024/4/15 6:07,demo_watch
L0739,2024/4/15 5:54,form_submit
L0454,2024/6/10 4:18,chat_open
L0454,2024/6/10 4:26,chat_open
L0454,2024/6/10 4:35,demo_watch
L0454,2024/6/10 4:45,whitepaper_download
L0454,2024/6/10 4:34,demo_watch
L0968,2024/5/20 11:19,chat_open
L0968,2024/5/20 11:11,whitepaper_download
L0968,2024/5/20 11:19,chat_open
L0968,2024/5/20 11:05,chat_open
L0971,2024/6/29 4:53,form_submit
L0971,2024/6/29 4:28,page_view
L0801,2024/3/21 21:28,chat_open
L0801,2024/3/21 21:41,pricing_click
L0801,2024/3/21 21:51,demo_watch
L0801,2024/3/21 21:37,page_view
L0715,2024/3/26 4:27,chat_open
L0715,2024/3/26 4:42,chat_open
L0715,2024/3/26 4:20,pricing_click
L0715,2024/3/26 4:36,pricing_click
L0606,2024/4/12 20:41,pricing_click
L0319,2024/5/24 23:23,whitepaper_download
L0319,2024/5/24 23:13,page_view
L0319,2024/5/24 23:18,form_submit
L0319,2024/5/24 23:23,demo_watch
L0319,2024/5/24 23:29,form_submit
L0812,2024/3/12 20:18,pricing_click
L0930,2024/3/8 5:22,form_submit
L0930,2024/3/8 5:30,demo_watch
L0930,2024/3/8 5:38,chat_open
L0930,2024/3/8 5:33,chat_open
L0824,2024/5/30 22:53,pricing_click
L0824,2024/5/30 22:48,whitepaper_download
L0824,2024/5/30 23:06,page_view
L0666,2024/3/25 7:37,page_view
L0666,2024/3/25 7:44,whitepaper_download
L0666,2024/3/25 7:36,form_submit
L0666,2024/3/25 7:30,pricing_click
L0693,2024/6/11 0:53,whitepaper_download
L0693,2024/6/11 0:50,whitepaper_download
L0693,2024/6/11 0:59,chat_open
L0377,2024/4/18 19:28,demo_watch
L0377,2024/4/18 19:42,form_submit
L0377,2024/4/18 19:35,demo_watch
L0377,2024/4/18 19:52,form_submit
L0377,2024/4/18 19:54,whitepaper_download
L0627,2024/4/10 0:27,chat_open
L0627,2024/4/10 0:12,whitepaper_download
L0004,2024/5/14 12:16,demo_watch
L0004,2024/5/14 11:55,page_view
L0004,2024/5/14 12:07,demo_watch
L0004,2024/5/14 11:58,page_view
L0004,2024/5/14 11:57,whitepaper_download
L0908,2024/3/24 1:30,chat_open
L0908,2024/3/24 1:29,page_view
L0908,2024/3/24 1:52,pricing_click
L0908,2024/3/24 1:44,page_view
L0908,2024/3/24 1:28,chat_open
L0282,2024/6/27 7:06,chat_open
L0282,2024/6/27 7:02,form_submit
L0282,2024/6/27 7:04,pricing_click
L0282,2024/6/27 7:00,pricing_click
L0282,2024/6/27 7:21,whitepaper_download
L0425,2024/3/12 20:13,chat_open
L0318,2024/3/24 17:29,chat_open
L0318,2024/3/24 17:42,chat_open
L0318,2024/3/24 17:53,chat_open
L0318,2024/3/24 17:49,form_submit
L0645,2024/4/24 7:48,page_view
L0203,2024/6/8 12:37,page_view
L0985,2024/6/17 21:48,whitepaper_download
L0985,2024/6/17 21:28,page_view
L0058,2024/3/20 6:44,form_submit
L0058,2024/3/20 6:50,form_submit
L0058,2024/3/20 6:43,chat_open
L0058,2024/3/20 6:43,demo_watch
L0058,2024/3/20 6:31,form_submit
L0943,2024/3/17 8:06,demo_watch
L0676,2024/3/1 15:30,demo_watch
L0147,2024/4/26 15:53,demo_watch
L0147,2024/4/26 15:47,form_submit
L0209,2024/5/25 21:03,pricing_click
L0640,2024/4/3 1:37,chat_open
L0640,2024/4/3 1:42,whitepaper_download
L0640,2024/4/3 1:39,chat_open
L0640,2024/4/3 1:31,demo_watch
L0405,2024/5/24 12:50,pricing_click
L0405,2024/5/24 12:53,pricing_click
L0405,2024/5/24 13:01,demo_watch
L0279,2024/3/19 6:38,chat_open
L0771,2024/5/24 6:02,form_submit
L0771,2024/5/24 5:35,pricing_click
L0771,2024/5/24 5:47,chat_open
L0771,2024/5/24 5:58,page_view
L0771,2024/5/24 5:59,page_view
L0868,2024/3/18 16:39,demo_watch
L0868,2024/3/18 16:34,page_view
L0207,2024/4/11 16:35,form_submit
L0207,2024/4/11 16:46,form_submit
L0207,2024/4/11 17:01,chat_open
L0512,2024/6/25 12:29,form_submit
L0512,2024/6/25 12:39,page_view
L0752,2024/5/21 6:47,whitepaper_download
L0752,2024/5/21 6:33,form_submit
L0752,2024/5/21 6:43,demo_watch
L0825,2024/5/11 12:30,whitepaper_download
L0825,2024/5/11 12:48,whitepaper_download
L0825,2024/5/11 12:42,form_submit
L0825,2024/5/11 12:46,demo_watch
L0825,2024/5/11 12:42,chat_open
L0872,2024/3/8 10:24,page_view
L0872,2024/3/8 10:18,demo_watch
L0599,2024/4/3 9:33,chat_open
L0599,2024/4/3 9:28,page_view
L0067,2024/4/4 18:09,demo_watch
L0067,2024/4/4 18:02,pricing_click
L0067,2024/4/4 17:57,form_submit
L0890,2024/3/30 10:15,whitepaper_download
L0890,2024/3/30 10:34,demo_watch
L0890,2024/3/30 10:30,page_view
L0890,2024/3/30 10:25,chat_open
L0890,2024/3/30 10:34,pricing_click
L0744,2024/4/3 9:50,whitepaper_download
L0744,2024/4/3 9:34,demo_watch
L0744,2024/4/3 9:42,chat_open
L0359,2024/3/25 16:19,whitepaper_download
L0359,2024/3/25 16:14,whitepaper_download
L0359,2024/3/25 16:11,demo_watch
L0411,2024/5/10 0:18,pricing_click
L0411,2024/5/10 0:28,page_view
L0206,2024/4/18 13:59,whitepaper_download
L0206,2024/4/18 14:11,chat_open
L0206,2024/4/18 14:12,whitepaper_download
L0206,2024/4/18 14:03,whitepaper_download
L0961,2024/3/23 11:37,whitepaper_download
L0850,2024/3/30 17:13,pricing_click
L0264,2024/6/22 18:20,whitepaper_download
L0264,2024/6/22 18:32,page_view
L0657,2024/6/13 12:18,pricing_click
L0657,2024/6/13 12:25,page_view
L0657,2024/6/13 12:17,whitepaper_download
L0198,2024/4/7 8:50,page_view
L0551,2024/3/1 18:47,page_view
L0551,2024/3/1 19:04,page_view
L0551,2024/3/1 19:03,page_view
L0448,2024/4/5 7:16,pricing_click
L0448,2024/4/5 7:14,whitepaper_download
L0448,2024/4/5 7:18,chat_open
L0448,2024/4/5 7:13,chat_open
L0960,2024/6/10 23:55,page_view
L0960,2024/6/10 23:57,page_view
L0960,2024/6/11 0:08,form_submit
L0960,2024/6/10 23:50,form_submit
L0311,2024/4/28 16:18,form_submit
L0311,2024/4/28 16:26,chat_open
L0311,2024/4/28 16:33,page_view
L0311,2024/4/28 16:17,chat_open
L0183,2024/6/11 8:05,pricing_click
L0183,2024/6/11 8:17,page_view
L0183,2024/6/11 8:27,page_view
L0183,2024/6/11 8:31,whitepaper_download
L0183,2024/6/11 8:21,page_view
L0048,2024/3/19 8:25,pricing_click
L0048,2024/3/19 8:24,chat_open
L0048,2024/3/19 8:13,whitepaper_download
L0954,2024/6/22 18:53,whitepaper_download
L0954,2024/6/22 18:40,pricing_click
L0950,2024/4/11 22:13,chat_open
L0950,2024/4/11 22:11,form_submit
L0950,2024/4/11 22:18,page_view
L0950,2024/4/11 21:54,chat_open
L0950,2024/4/11 21:58,demo_watch
L0427,2024/5/19 14:51,pricing_click
L0427,2024/5/19 14:57,whitepaper_download
L0104,2024/6/24 0:47,chat_open
L0104,2024/6/24 1:05,form_submit
L0104,2024/6/24 0:45,chat_open
L0442,2024/5/11 18:26,page_view
L0442,2024/5/11 18:20,demo_watch
L0442,2024/5/11 18:28,page_view
L0805,2024/6/8 16:55,form_submit
L0805,2024/6/8 16:49,pricing_click
L0805,2024/6/8 17:02,page_view
L0289,2024/4/3 20:04,pricing_click
L0289,2024/4/3 20:02,demo_watch
L0289,2024/4/3 19:48,chat_open
L0289,2024/4/3 19:50,whitepaper_download
L0271,2024/6/12 3:09,page_view
L0800,2024/4/16 11:53,pricing_click
L0800,2024/4/16 11:51,form_submit
L0800,2024/4/16 11:27,chat_open
L0800,2024/4/16 11:44,whitepaper_download
L0719,2024/5/26 8:23,demo_watch
L0719,2024/5/26 8:20,form_submit
L0468,2024/5/3 22:02,whitepaper_download
L0468,2024/5/3 21:53,form_submit
L0468,2024/5/3 22:06,pricing_click
L0468,2024/5/3 22:12,whitepaper_download
L0468,2024/5/3 21:57,chat_open
L0421,2024/5/25 2:00,page_view
L0421,2024/5/25 2:00,pricing_click
L0421,2024/5/25 1:54,pricing_click
L0522,2024/3/1 19:59,whitepaper_download
L0071,2024/4/10 16:32,page_view
L0071,2024/4/10 16:41,page_view
L0071,2024/4/10 16:25,chat_open
L0933,2024/3/22 9:18,chat_open
L0933,2024/3/22 9:18,chat_open
L0933,2024/3/22 9:39,pricing_click
L0933,2024/3/22 9:37,page_view
L0337,2024/5/30 11:08,chat_open
L0337,2024/5/30 10:54,whitepaper_download
L0337,2024/5/30 10:55,pricing_click
L0337,2024/5/30 11:12,pricing_click
L0337,2024/5/30 10:52,form_submit
L0192,2024/5/31 1:56,chat_open
L0192,2024/5/31 1:58,form_submit
L0610,2024/5/14 22:08,whitepaper_download
L0610,2024/5/14 22:31,chat_open
L0610,2024/5/14 22:07,pricing_click
L0115,2024/4/22 10:59,demo_watch
L0115,2024/4/22 11:03,chat_open
L0115,2024/4/22 11:17,page_view
L0115,2024/4/22 10:55,pricing_click
L0770,2024/5/4 7:23,demo_watch
L0770,2024/5/4 7:41,whitepaper_download
